TINV TI-06 FinOps — Matriz de Fuentes,,,,,,,,,,,,,,,,
"Una fila por fuente. Las columnas A (ID) y M (alerta de solapamiento) se calculan solas: no escribir sobre ellas. Regla del equipo: cada fuente pertenece a UN solo pilar. Si dos integrantes cargan el mismo DOI en pilares distintos, la fila se pinta roja.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ID,Buscador,Palabras de Busqueda,Anio,Autores,Titulo,Abstract,Keyword,Publicacion / Link - DOI,Tipo de fuente,A que pilar pertenece,Seccion del informe,Alerta de solapamiento,Quien lo encontro,Estado,Comentarios,Se encuentra en carpeta
EJEMPLO,Web of Science,"(""cloud comput*"" AND (""cost allocation"" OR chargeback))",2019,"Apellido, A., y Apellido, B.",Titulo completo del articulo tal como aparece,"Pegar aqui el abstract, o al menos 2-3 lineas con la idea central",cloud computing; cost allocation; chargeback,"Journal of X, 12(3), 45-67. https://doi.org/10.xxxx/yyyy",Academica,P1,3. Marco teorico,,Danilo,Leido,Sirve para justificar la diferencia entre showback y chargeback,Si
001,Sitio oficial,FinOps Framework Inform Optimize Operate roles engineering finance procurement,2026,FinOps Foundation,FinOps Framework,"Define el marco FinOps, sus dominios, capacidades, personas y ciclos de trabajo para gestionar el valor empresarial de la nube.",FinOps Framework; Inform; Optimize; Operate; roles,https://www.finops.org/framework/,Oficial/estandar,P1,3. Marco teorico,,Matias Romero,Verificada para matriz,Autoridad: organismo rector de FinOps. Metodo: marco mantenido por la comunidad profesional. Sesgo/limite: fuente institucional; describe buenas practicas y no demuestra por si sola resultados economicos. Original verificado el 2026-09-12.,No
002,Sitio oficial,FinOps allocation tagging showback chargeback shared costs,2026,FinOps Foundation,Allocation,"Describe asignacion de costos mediante cuentas, etiquetas y categorias; diferencia showback y chargeback y aborda costos compartidos.",allocation; tagging; showback; chargeback; shared costs,https://framework.finops.org/framework/capabilities/allocation/,Oficial/estandar,P1,4. Analisis comparativo,,Cristofer Contreras,Verificada para matriz,Autoridad: capacidad oficial del FinOps Framework. Metodo: guia de practica. Sesgo/limite: no prescribe una unica regla de reparto; la efectividad depende de gobernanza y calidad de etiquetas. Original verificado el 2026-09-12.,No
003,Sitio oficial,FinOps unit economics cost per transaction customer request token,2026,FinOps Foundation,Unit Economics,"Explica como relacionar costos cloud con unidades de valor empresarial, por ejemplo transaccion, cliente o solicitud.",unit economics; unit cost; business value; KPI,https://www.finops.org/framework/capabilities/unit-economics/,Oficial/estandar,P1,4. Analisis comparativo,,Matias Romero,Verificada para matriz,Autoridad: capacidad oficial del FinOps Framework. Metodo: guia operativa con metricas unitarias. Sesgo/limite: la unidad debe definirse para el caso y no puede copiarse sin validar volumen y causalidad. Original verificado el 2026-09-12.,No
004,Sitio oficial,FinOps planning estimating shift left CI CD cost,2026,FinOps Foundation,Planning and Estimating,"Integra pronostico y estimacion temprana de costos en decisiones de arquitectura, presupuestos y ciclo de entrega.",planning; estimating; forecast; shift-left; CI/CD,https://www.finops.org/framework/capabilities/planning-estimating/,Oficial/estandar,P2,4. Analisis comparativo,,Cristofer Contreras,Verificada para matriz,Autoridad: capacidad oficial del FinOps Framework. Metodo: guia de practica. Sesgo/limite: requiere datos historicos y supuestos explicitos; no reemplaza una cotizacion. Original verificado el 2026-09-12.,No
005,Sitio oficial,FOCUS specification cost usage dataset cloud billing standard,2026,FinOps Foundation,FOCUS Specification 1.4,Estandariza columnas y semantica de datos de costo y uso para facilitar comparaciones y analisis entre proveedores.,FOCUS; billing data; cost and usage; interoperability,https://focus.finops.org/docs/specification/v1-4/,Oficial/estandar,P1,4. Analisis comparativo,,Matias Romero,Verificada para matriz,Autoridad: especificacion abierta ratificada por FinOps Foundation el 2026-06-04. Metodo: esquema normativo. Sesgo/limite: normaliza datos; no garantiza que todos los proveedores expongan igual detalle. Original verificado el 2026-09-12.,No
006,Sitio oficial,AWS Savings Plans commitment discount official guide,2026,Amazon Web Services,AWS Savings Plans User Guide,"Documenta compromisos de gasto, tipos de Savings Plans, cobertura y restricciones para optimizar tarifas.",Savings Plans; commitments; discount; AWS,https://docs.aws.amazon.com/pdfs/savingsplans/latest/userguide/savingsplans.pdf,Comercial/proveedor,P2,4. Analisis comparativo,,Cristofer Contreras,Verificada para matriz,"Autoridad: documentacion oficial del proveedor. Metodo: especificacion del producto. Sesgo: fuente interesada de AWS; usar para condiciones vigentes, no para afirmar superioridad. Original verificado el 2026-09-12.",No
007,Sitio oficial,Azure Cost Management plan manage costs official,2026,Microsoft,Plan to manage Azure costs,"Describe presupuestos, analisis de costos, alertas, recomendaciones y responsabilidades de administracion financiera en Azure.",Azure Cost Management; budgets; alerts; cost analysis,https://learn.microsoft.com/en-us/azure/cost-management-billing/understand/plan-manage-costs,Comercial/proveedor,P1,4. Analisis comparativo,,Matias Romero,Verificada para matriz,Autoridad: documentacion oficial del proveedor. Metodo: guia operativa. Sesgo: fuente interesada de Microsoft; no usar como comparacion neutral entre nubes. Original verificado el 2026-09-12.,No
008,Sitio oficial,AWS Fargate pricing vCPU memory region,2026,Amazon Web Services,AWS Fargate Pricing,"Fuente primaria para unidades, modalidades y precios regionales de ejecucion de contenedores Fargate.",AWS Fargate; price; vCPU; memory; region,https://aws.amazon.com/fargate/pricing/,Comercial/proveedor,P2,5. Caso practico,,Cristofer Contreras,Verificada para matriz,"Autoridad: pagina oficial de precios. Metodo: tarifa de lista por configuracion. Sesgo: fuente interesada; fecha, region y calculadora deben conservarse. Chile no tiene precio regional verificable al 2026-09-12.",No
009,Sitio oficial,Azure Container Apps pricing Chile Central East US retail API,2026,Microsoft,Azure Container Apps Pricing,"Fuente primaria para precios de CPU, memoria y solicitudes; permite comparar la misma unidad entre Chile Central y East US.",Azure Container Apps; Chile Central; East US; price,https://azure.microsoft.com/pricing/details/container-apps/,Comercial/proveedor,P2,5. Caso practico,,Matias Romero,Verificada para matriz,Autoridad: pagina oficial; cifras numericas verificadas contra Azure Retail Prices API. Metodo: precio de lista por medidor. Sesgo: fuente interesada; descuentos contractuales no incluidos. Validado el 2026-09-12.,No
010,Sitio oficial,Google Cloud Run pricing Santiago Chile official,2026,Google Cloud,Cloud Run pricing,"Fuente primaria para tarifas de CPU, memoria y solicitudes de Cloud Run por region y modalidad.",Cloud Run; pricing; Santiago; serverless containers,https://cloud.google.com/run/pricing,Comercial/proveedor,P2,5. Caso practico,,Cristofer Contreras,Verificada para matriz,"Autoridad: pagina oficial de precios. Metodo: tarifa de lista. Sesgo: fuente interesada; conservar region, moneda, fecha, nivel gratuito y modalidad al citar cifras. Original verificado el 2026-09-12.",No
011,Sitio oficial,NIST cloud deployment models public private hybrid community,2012,NIST,NIST SP 800-146 Cloud Computing Synopsis and Recommendations,"Resume modelos y consideraciones de adopcion cloud para comparar nube publica, privada e hibrida.",NIST; public cloud; private cloud; hybrid cloud; risk,https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-146.pdf,Oficial/estandar,P3,4. Analisis comparativo,,Matias Romero,Verificada para matriz,"Autoridad: publicacion del NIST. Metodo: sintesis tecnica y recomendaciones. Sesgo/limite: documento antiguo; sirve para conceptos, no para precios ni capacidades actuales. Original verificado el 2026-09-12.",No
012,Sitio oficial,ISO IEC 22123-1 cloud computing vocabulary,2023,ISO/IEC,ISO/IEC 22123-1:2023 Cloud computing - Vocabulary,Establece vocabulario normalizado para cloud computing y reduce ambiguedad terminologica del informe.,ISO; cloud computing; vocabulary; terminology,https://www.iso.org/standard/82758.html,Oficial/estandar,P1,3. Marco teorico,,Cristofer Contreras,Verificada para matriz,Autoridad: norma internacional vigente. Metodo: consenso normativo. Sesgo/limite: la pagina publica solo expone metadatos; el texto completo puede requerir acceso institucional. Original verificado el 2026-09-12.,No
013,Sitio oficial,ISO IEC 19086-1 cloud SLA framework,2016,ISO/IEC,ISO/IEC 19086-1:2016 Cloud computing SLA framework,"Aporta conceptos de acuerdos de nivel de servicio y relacion entre compromisos, soporte, riesgo y costo.",ISO; cloud SLA; service level; support; risk,https://www.iso.org/standard/67545.html,Oficial/estandar,P3,4. Analisis comparativo,,Matias Romero,Verificada para matriz,Autoridad: norma internacional confirmada vigente y enmendada en 2025. Metodo: consenso normativo. Sesgo/limite: texto completo puede requerir acceso institucional. Original verificado el 2026-09-12.,No
014,Sitio oficial,OpenCost Kubernetes cost allocation specification,2026,OpenCost / CNCF,OpenCost Documentation,Documenta un modelo abierto para asignacion y visibilidad de costos Kubernetes.,OpenCost; Kubernetes; allocation; cost monitoring,https://opencost.io/docs/,Tecnica de terceros,P1,4. Analisis comparativo,,Cristofer Contreras,Verificada para matriz,Autoridad: proyecto tecnico abierto vinculado a CNCF. Metodo: documentacion de implementacion. Sesgo/limite: centrado en Kubernetes y dependiente de la calidad de metricas y precios cargados. Original verificado el 2026-09-12.,No
015,Sitio oficial,Infracost CI CD cloud cost estimation infrastructure as code,2026,Infracost,Infracost Documentation,Permite estimar variaciones de costo desde infraestructura como codigo e integrar el analisis en CI/CD.,Infracost; IaC; cost estimation; CI/CD; shift-left,https://www.infracost.io/docs/,Tecnica de terceros,P2,4. Analisis comparativo,,Matias Romero,Verificada para matriz,Autoridad: documentacion tecnica del producto. Metodo: consulta de precios y estimacion sobre IaC. Sesgo: fuente del proveedor; validar cobertura de recursos y exactitud contra precios oficiales. Original verificado el 2026-09-12.,No
016,Sitio oficial,principios FinOps colaboracion valor responsabilidad costos datos,2026,FinOps Foundation,FinOps Principles,"Establece los principios de colaboracion, responsabilidad distribuida, valor empresarial, datos oportunos y costo variable que justifican el problema de investigacion.",FinOps principles; accountability; collaboration; business value,https://www.finops.org/framework/principles/,Oficial/estandar,P1,2. Introduccion y contexto,,Matias Romero,Verificada para matriz,Autoridad: principios oficiales del FinOps Framework. Metodo: consenso de practica. Sesgo/limite: marco institucional y no evidencia causal de ahorro. Original verificado el 2026-09-12.,No
017,Sitio oficial,FinOps domains outcomes understand quantify optimize manage,2026,FinOps Foundation,FinOps Domains,"Organiza los resultados esperados de FinOps: comprender uso y costo, cuantificar valor, optimizar y gestionar la practica.",FinOps domains; outcomes; value; optimization,https://www.finops.org/framework/domains/,Oficial/estandar,P3,7. Conclusiones,,Cristofer Contreras,Verificada para matriz,"Autoridad: dominio oficial del FinOps Framework. Metodo: modelo de resultados. Sesgo/limite: usar como criterio de discusion, no como prueba automatica de beneficios. Original verificado el 2026-09-12.",No
018,Sitio oficial,FinOps governance policy risk cost performance business value,2026,FinOps Foundation,"Governance, Policy and Risk","Relaciona decisiones de tecnologia con costo, rendimiento, riesgo, cumplimiento y valor empresarial mediante controles y seguimiento continuo.",governance; policy; financial risk; business value,https://www.finops.org/framework/capabilities/governance-policy-risk/,Oficial/estandar,P3,7. Conclusiones,,Matias Romero,Verificada para matriz,Autoridad: capacidad oficial del FinOps Framework. Metodo: guia de gobernanza. Sesgo/limite: requiere adaptacion al caso y evidencia de resultados; no valida por si misma una conclusion. Original verificado el 2026-09-12.,No
019,Sitio oficial,FinOps usage optimization rightsizing idle shutdown nonproduction,2026,FinOps Foundation,Usage Optimization,"Describe rightsizing, eliminacion de recursos ociosos, apagado programado y reduccion de desperdicio en cargas productivas y no productivas.",usage optimization; rightsizing; idle resources; waste,https://www.finops.org/framework/capabilities/usage-optimization/,Oficial/estandar,P2,4. Analisis comparativo,,Cristofer Contreras,Verificada para matriz,Autoridad: capacidad oficial del FinOps Framework. Metodo: guia de practica. Limite: no aporta por si sola resultados economicos para el caso; cada medida requiere datos del workload. Original verificado el 2026-09-13.,No
